Afghani,american
Alabaman,australian
Alaskan,brazilian
aluminium,aluminium
angry,angry
antagonistic,arrogant
appalachian,appalachian
artificial,artificial
austrian,austrian
azure,azure
beautiful,beautiful
big,big
black,black
boisterous,noisy
brown,brown
burly,strong
Californian,caribbean
canadian,canadian
charismatic,charismatic
chartreuse,charming
chilean,chilean
chinese,chinese
chummy,intimate
columbian,columbian
common,common
copper,copper
coy,shy
crazy,crazy
cyan,turquoise
deformed,broken
devout,devout
dry,dry
dull,dull
english,english
flexible,flexible
flimsy,fragile
florid,fancy
french,french
friendly,friendly
furry,furry
fuzzy,fuzzy
german,german
ghanaian,ghanaian
glittery,brilliant
golden,golden
greek,greek
happy,happy
hard,hard
hawaiian,hawaiian
helpful,helpful
hopeful,hopeful
horrid,horrible
horrifying,scary
idealistic,naive
indian,indian
indigo,indigo
indonesian,indonesian
insane,insane
iraqi,iraqi
irish,irish
irresistible,irresistible
israeli,israeli
italian,italian
japanese,japanese
jealous,jealous
kooky,bizarre
korean,korean
large,large
latvian,latvian
lavender,lavender
lithuanian,lithuanian
loud,loud
loving,loving
lucky,lucky
macedonian,macedonian
Madagascan,kenyan
magenta,purple
maroon,maroon
mauve,gray
mexican,mexican
Minnesotan,russian
Mississippian,norwegian
moist,moist
mongolian,mongolian
moroccan,moroccan
mustard,mustard
Nebraskan,swedish
neon,neon
nickel,nickel
noble,noble
Oklahoman,dutch
opaque,opaque
orange,orange
Oregonian,vietnamese
outstanding,outstanding
pakistani,pakistani
Panamanian,turkish
periwinkle,heavy
pink,pink
platinum,platinum
polish,polish
polite,polite
preposterous,ridiculous
pretty,pretty
proud,proud
quaint,ancient
quick,quick
red,red
reflective,reflective
religious,religious
rigid,rigid
romanian,romanian
rough,rough
rude,rude
sad,sad
savvy,smart
scaly,rich
scatterbrained,hesitant
scentless,dangerous
seductive,seductive
sheltered,sheltered
shiny,shiny
siberian,siberian
silly,silly
silver,silver
slimy,slippery
slow,slow
sly,sly
small,small
smelly,rotten
smooth,smooth
sneaky,secret
soft,soft
spanish,spanish
stolen,stolen
stupid,stupid
sturdy,sturdy
sudanese,sudanese
surly,sour
swiss,swiss
taciturn,quiet
talkative,outgoing
terrible,terrible
Texan,portuguese
thoughtful,thoughtful
tin,tin
translucent,translucent
ugly,ugly
Ukranian,iranian
uncouth,awkward
underwhelming,boring
unhelpful,useful
unhinged,messy
unpredictable,unpredictable
untrustworthy,suspicious
unusual,unusual
valuable,valuable
vivacious,lively
Washingtonian,egyptian
welsh,welsh
white,white
wild,wild
worthless,worthless
yellow,yellow
