abandons,accepts
admires,admits
aerates,advises
appraises,answers
appreciates,attracts
approves,asks
bans,becomes
bathes,blasts
beats,beats
bites,bites
bleaches,blows
blesses,boasts
bombs,bombs
borrows,buys
breaks,breaks
brings,brings
brushes,brushes
builds,builds
buries,calls
burns,burns
butters,catches
carries,carries
charges,charges
checks,checks
chooses,chooses
claims,claims
collects,collects
covers,covers
criticizes,changes
decorates,copies
defiles,controls
demolishes,denies
describes,describes
detests,designs
draws,draws
dries,destroys
dusts,divides
eats,eats
emphasizes,emphasizes
eyes,eyes
faces,faces
fancies,drops
fears,fears
films,films
forgets,finds
freezes,fills
greases,folds
guards,guards
hears,hears
hugs,hugs
identifies,identifies
idolizes,grabs
imagines,helps
inspects,hides
kicks,kicks
kisses,kisses
licks,likes
locates,meets
marks,marks
marvels,misses
mistreats,moves
names,names
offers,offers
oils,oils
owns,owns
paints,paints
pats,passes
places,places
presents,presents
publicizes,picks
punches,punches
punctures,rents
pushes,pushes
rates,rates
receives,receives
reddens,refuses
remembers,remembers
returns,returns
reveres,reports
salts,salts
scrapes,shakes
scrutinizes,sees
sells,sells
sends,sends
shoots,shoots
shows,shows
slaps,sings
slices,slices
sniffs,smells
squashes,studies
stains,stains
stops,stops
strokes,strokes
twists,twists
vandalizes,supports
warms,thanks
washes,touches
waters,waters
welcomes,tries
wins,wins
