eats eaten eat
beats beaten beat
kicks kicked kick
punches punched punch
bites bitten bite
admires admired admire
sells sold sell
shows showed show
offers offered offer
stops stopped stop
washes washed wash
reveres revered revere
eyes eyed eye
fears feared fear
brings brought bring
borrows borrowed borrow
fancies fancied fancy
detests detested detest
licks licked lick
hugs hugged hug
kisses kissed kiss
appreciates appreciated appreciate
brushes brushed brush
burns burnt burn
claims claimed claim
draws drawn draw
faces faced face
films filmed film
guards guarded guard
imagines imagined imagine
inspects inspected inspect
marks marked mark
names named name
owns owned own
paints painted paint
pushes pushed push
rates rated rate
receives received receive
remembers remembered remember
returns returned return
scrapes scraped scrape
slaps slapped slap
sniffs sniffed sniff
stains stained stain
wins won win
scrutinizes scrutinized scrutinize
warms warmed warm
freezes frozen freeze
abandons abandoned abandon
defiles defiled defile
mistreats mistreated mistreat
builds built build
chooses chose choose
forgets forgot forget
hears heard hear
sends sent send
approves approved approve
bans banned ban
bathes bathed bathe
bleaches bleached bleach
blesses blessed bless
bombs bombed bomb
breaks broke break
buries buries bury
carries carried carry
charges charged charge
checks checked check
collects collected collect
covers covered cover
criticizes criticized criticize
decorates decorated decorate
describes described describe
dries dried dry
dusts dusted dust
emphasizes emphasized emphasize
greases greased grease
butters buttered butter
identifies identified identify
reddens reddened redden
marvels marveled marvel
oils oiled oil
pats patted pat
places placed place
presents presented present
punctures punctured puncture
slices sliced slice
squashes squashed squash
strokes stroked stroke
twists twisted twist
locates located locate
welcomes welcomed welcome
publicizes publicized publicize
demolishes demolished demolish
vandalizes vandalized vandalize
idolizes idolized idolize
appraises appraised appraise
salts salted salt
waters watered water
aerates aerated aerate
shoots shot shoot
